State,Year,Number of beekeepers,% of beekeepers,Number of,% of hives,Beekeepers with more than 50 hives
New South Wales,2006-07,3060,31,236200,41,660
,2015-16,4250,32,192900,43,490
Victoria,2006-07,2140,22,99300,17,340
,2015-16,3030,23,68200,15,220
Queensland,2006-07,3110,31,127100,22,370
,2015-16,2820,21,73700,16,230
South Australia,2006-07,720,7,67300,12,190
,2015-16,1180,9,61000,14,170
Western Australia,2006-07,710,7,26900,5,100
,2015-16,1730,13,33400,7,120
Tasmania,2006-07,160,2,13900,2,30
,2015-16,180,1,16400,4,40
Australia,2006-07,9920,100,572000,100,1700
,2015-16,13390,100,448300,100,1280
