rowid,Botanical name,Flowering Time
1,Abelia grandiflora,Summer
2,Acacia baileyana,Winter
3,Acacia doratoxylon,Spring
4,Alyogyne huegelii,Spring
5,Alyogyne huegelii,Autumn
6,Angophora costata,Spring
7,Angophora costata,Summer
8,Banksia integrifolia,Autumn
9,Banksia integrifolia,Winter
10,Banksia serrata,Spring
11,Banksia serrata,Summer
12,Banksia spinulosa,Fall
13,Banksia spinulosa,Winter
14,Banksia spinulosa,Spring
15,Borago officinalis,Spring
16,Borago officinalis,Summer
17,Callistemon salignus,Spring
18,Callistemon subulatus,Spring
19,Callistemon subulatus,Summer
20,Callistemon subulatus,Winter
21,Callistemon viminalis,Spring
22,Callistemon viminalis,Autumn
23,Callistemon viminalis,Summer
24,Carpobrotus glaucescens,Spring
25,Carpobrotus glaucescens,Autumn
26,Corymbia eximia,Spring
27,Corymbia eximia,Winter
28,Corymbia ficifolia,Summer
29,Corymbia maculata,Spring
30,Corymbia maculata,Winter
31,Eremophila deserti,Spring
32,Eucalyptus cladocalyx,Summer
33,Eucalyptus diversifolia,Spring
34,Eucalyptus erythrocorys,Autumn
35,Eucalyptus erythrocorys,Spring
36,Eucalyptus incrassata,Spring
37,Eucalyptus incrassata,Summer
38,Eucalyptus lansdowneana,Winter
39,Eucalyptus lansdowneana,Spring
40,Eucalyptus leucoxylon,Autumn
41,Eucalyptus leucoxylon,Spring
42,Eucalyptus microcarpa,Summer
43,Eucalyptus microcarpa,Winter
44,Eucalyptus occidentalis,Autumn
45,Eucalyptus occidentalis,Winter
46,Eucalyptus oleosa,Summer
47,Eucalyptus oleosa,Winter
48,Eucalyptus pauciflora,Spring
49,Eucalyptus pauciflora,Summer
50,Eucalyptus porosa,Summer
51,Eucalyptus porosa,Winter
52,Eucalyptus torquata,Spring
53,Eucalyptus torquata,Summer
54,Eucalyptus tricarpa,Summer
55,Eucalyptus tricarpa,Winter
56,Eucalyptus tricarpa,Autumn
57,Eucalyptus utilis,Spring
58,Eucalyptus utilis,Summer
59,Eucalyptus viridis,Summer
60,Gazania linearis,Winter
61,Gazania linearis,Summer
62,Geijera parviflora,Winter
63,Geijera parviflora,Spring
64,Grevillea chrysophaea,Winter
65,Grevillea chrysophaea,Summer
66,Grevillea montis-cole,Winter
67,Grevillea montis-cole,Spring
68,Grevillea robusta,Spring
69,Grevillea robusta,Summer
70,Hakea laurina,Spring
71,Hakea laurina,Winter
72,Hardenbergia violacea,Spring
73,Jacaranda mimosifolia,Spring
74,Jacaranda mimosifolia,Winter
75,Lavandula stoechas,Summer
76,Lavandula stoechas,Winter
77,Leptecophylla juniperina,Summer
78,Lobularia maritima,Spring
79,Lobularia maritima,Summer
80,Macadamia integrifolia,Winter
81,Macadamia integrifolia,Spring
82,Malus pumila,Summer
83,Malus pumila,Spring
84,Melaleuca lanceolata,Spring
85,Melaleuca lanceolata,Summer
86,Melaleuca linariifolia,Summer
87,Melaleuca wilsonii,Spring
88,Melaleuca wilsonii,Summer
89,Melia azedarach,Spring
90,Melissa officinalis,Summer
91,Mentha piperita,Summer
92,Mentha spicata,Summer
93,Myoporum parvifolium,Spring
94,Myoporum parvifolium,Autumn
95,Nepeta cataria,Spring
96,Nepeta cataria,Summer
97,Origanum vulgare,Summer
98,Origanum vulgare,Autumn
99,Passiflora edulis,Summer
100,Passiflora edulis,Autumn
101,Pelargonium rodneyanum,Summer
102,Pelargonium rodneyanum,Autumn
103,Persea americana,Summer
104,Prunus cerasifera,Spring
105,Prunus cerasifera,Summer
106,Prunus cerasifera,Fall
107,Prunus lusitanica,Spring
108,Rosmarinus officinalis,Winter
109,Rubus idaeus,Summer
110,Rubus idaeus,Autumn
111,Salvia verbenaca,Summer
112,Scaevola aemula,Spring
113,Scaevola aemula,Autumn
114,Tristaniopsis laurina,Summer
115,Tristaniopsis laurina,Spring
116,Tropaeolum majus,Spring
117,Tropaeolum majus,Autumn
